doy.dayfract;datetime [UTC];SZA;Lat;Lon;temp1 [C];temp2 [C];temp3 [C];temp4 [C];h1 [%];h2 [%];Voltage;Pan;Tilt;cyclenr;Incoming at 750nm [W m-2nm-1sr-1];Reflected 750 [W m-2nm-1sr-1];Reflected 760 [W m-2nm-1sr-1];Reflected 687 [W m-2nm-1sr-1];Reflectance 750 [-];Reflectance 760 [-];E_stability [%];sat value L;sat value E;sat value E2;Dynamic range E [%];Dynamic range L [%];DC_fluo;DCL_fluo;SIF_A_ifld [mW m-2nm-1sr-1];SIF_B_ifld [mW m-2nm-1sr-1];SIF_A_sfm [mW m-2nm-1sr-1];SIF_B_sfm [mW m-2nm-1sr-1];A_sfm_conv;B_sfm_conv;check;cyclenr;Incoming at 750nm Full [W m-2nm-1sr-1];Reflected 750nm full [W m-2nm-1sr-1];PAR inc [W m-2];PAR ref [W m-2];APAR [umol m-2 s-1];E_stability full [%];sat value L full;sat value E full;sat value E2 full;Dynamic range E full [%];Dynamic range L full [%];DC;DCL;SSHIFT [nm];gps_CPU;wr_CPU;veg_CPU;NDVI;PRI;MTCI;SR;EVI;REP;TCARI;REDCl;MCRI;L800
166.64461805555555;2025-06-15 14:28:15;43.93963819148766;42.84971;11.06429;30.69;20.08;57.7;27.1;15.0;52.6;10.16;0;0;100;0.3314766523715012;0.1117897484501726;0.0672342187324905;0.0038844882785527;0.369290142356571;0.4036657994754839;0.0340166767374189;0;0;0;80.2265;81.488;2183.1240234375;2178.869140625;2.1031216732605085;0.7007953358951645;2.1473200766689517;0.6721612936916573;True;True;0;100;0.3210453487481013;0.1079943393858948;363.1246027993141;6.259265531084797;1803.751217278132;0.5286386685104305;0;0;0;73.8462962962963;76.45925925925926;1671.3333333333333;1680.6666666666667;-0.3934333010290061;3901016;3908515;3906667;0.9430710910807162;-0.0027309415455096;4.987938182119821;0.9848035268367414;0.7429499435629033;659.7040700716067;0.0501182472976068;2.3935179474799355;-3.830253808499265;0.119103449745094
166.64491898148148;2025-06-15 14:28:41;44.01766075456718;42.84971;11.06429;30.69;20.08;57.5;27.1;14.9;52.6;10.15;0;0;101;0.330721105577164;0.1123756391959637;0.0675185879545105;0.0039347646498897;0.3718917166006735;0.405837547962834;0.074110012298561;0;0;0;80.148;81.856;2183.4384765625;2179.37109375;2.0653683643475347;0.547134453967209;2.124161136399831;0.5880565032919565;True;True;0;101;0.3203165381249176;0.1072633534873446;362.4217750031511;6.122754639798233;1802.1599236161328;0.2687747468564222;0;0;0;73.66666666666667;76.83148148148148;1683.6666666666667;1709.6666666666667;-0.3934333010290061;3926795;3934299;3932449;0.9433902009150418;-0.0011795036497046;5.057155583301653;0.9846261677369178;0.7396060885622052;659.7963808505234;0.0484933277748952;2.4077968349344085;-3.8431378047135816;0.1181962838901761
166.6452199074074;2025-06-15 14:29:07;44.09569644747105;42.8497;11.06428;30.69;20.08;57.5;27.1;14.9;52.6;10.16;0;0;102;0.3301008461617014;0.1117288535381915;0.0671452482071578;0.0038966203449119;0.3709756328129575;0.4046811510550548;0.0090596019216537;0;0;0;80.0765;81.727;2184.423828125;2180.2001953125;1.8778496987892668;0.7108163211705923;2.0752357103920827;0.6240443977449853;True;True;0;102;0.3211726932279792;0.1090117963637668;361.5646128282866;6.326797474603422;1793.0722536972794;0.553259537406322;0;0;0;76.81851851851852;76.92962962962963;1686.6666666666667;1686.0;-0.3934333010290061;3952757;3960262;3958414;0.9424531445634268;-0.0035403011774078;4.938682107809231;0.9807157088238508;0.7479971775787163;659.7197421328003;0.0511702585884087;2.3875264160086997;-3.824834264758663;0.120072831700653
166.64604166666666;2025-06-15 14:30:18;44.30881588789323;42.84946;11.06418;30.69;20.08;57.5;27.1;15.0;52.4;10.15;0;0;103;0.3296858268033083;0.1185691106143805;0.070272557834614;0.0048408160265954;0.3904456061695204;0.4241515574150938;0.0095742934331774;0;0;0;80.274;84.702;2182.4345703125;2178.8515625;1.9857029671269757;0.6266059944618937;2.197000265077598;0.6008182696109037;True;True;0;103;0.3204880239877275;0.1010371034493875;361.4240383413767;6.241791625417667;1783.7193737400587;0.8393205237584461;0;0;0;76.48888888888888;76.48888888888888;1695.3333333333333;1705.0;-0.3934333010290061;4023591;4031105;4029247;0.94016310186302;0.0079190718247347;4.988351693600854;0.9820114534772098;0.713619063587345;660.0875566415192;0.0462897748884487;2.3834282857589555;-3.869457262570712;0.1114251064035191
166.6463425925926;2025-06-15 14:30:44;44.38694025399072;42.84945;11.06418;30.69;20.08;57.4;27.1;15.0;52.5;10.16;0;0;104;0.3295768253636476;0.1128949318478906;0.0672096851669959;0.0039545513367113;0.3736873870413345;0.4065616674357497;0.0606618354811298;0;0;0;80.1735;81.6025;2185.123046875;2180.990234375;1.9666305222763485;0.59625190938384;2.140260035592594;0.5413159744875645;True;True;0;104;0.3187573100454566;0.0982541880044934;360.3490593859516;5.867777536740778;1787.8781014796523;0.0415164134017845;0;0;0;76.81296296296296;75.96666666666667;1671.6666666666667;1721.6666666666667;-0.3934333010290061;4049620;4057148;4055287;0.9421056545923088;0.0087882309452836;5.086893246686224;0.983640722133028;0.7017767394319402;660.0458501497714;0.0440602738505284;2.423103999392096;-3.899964116122485;0.1086515879708201
166.64664351851852;2025-06-15 14:31:10;44.46508596349334;42.84944;11.06418;30.62;20.08;57.4;27.1;15.0;52.5;10.14;0;0;105;0.3292219461097133;0.1126543573619727;0.0670643848827145;0.0042544188890649;0.3723780898250491;0.4055192617364681;0.0365018836795223;0;0;0;80.176;81.379;2186.365234375;2181.7158203125;1.924424215951272;0.6127942366195224;2.1473794407280926;0.6255835207361429;True;True;0;105;0.3182448875189141;0.1003179081847679;360.07989436328273;6.0500678429396055;1784.2493011539989;0.2079533805968498;0;0;0;76.72777777777777;76.1962962962963;1679.6666666666667;1707.0;-0.3934333010290061;4075778;4083306;4081448;0.9417635770942132;0.0073970963969424;5.052848576835249;0.9767880014777638;0.7093013150668828;659.9504997118198;0.045301356197909;2.4200022531512912;-3.9052589520715393;0.1100948398549003
166.64694444444444;2025-06-15 14:31:36;44.54325427037645;42.84944;11.06418;30.62;20.07;57.4;27.0;15.0;52.5;10.14;0;0;106;0.328194323158854;0.1167771813724215;0.0692029582199593;0.004476916644351;0.3867544997319024;0.420913748571207;0.0034572488545793;0;0;0;80.07;84.0405;2186.927734375;2182.3701171875;2.0147369289906845;0.79647006806325;2.2090804349327158;0.6167465721550589;True;True;0;106;0.3182712403487355;0.099732924310661;358.68976711582127;6.124783581424783;1769.036455936997;0.5881653670989588;0;0;0;76.31296296296296;76.66666666666667;1677.0;1703.3333333333333;-0.3934333010290061;4101597;4109126;4107265;0.9397710966101516;0.0093291266130526;4.943345875500758;0.9867805497788924;0.7082832595247576;659.9950244893083;0.0446527259859808;2.3935330265596546;-3.8804523132889193;0.1097502341071178
166.64724537037037;2025-06-15 14:32:02;44.62144344592107;42.84944;11.06418;30.69;20.08;57.4;27.0;15.0;52.5;10.14;0;0;107;0.3275293834091426;0.1159301634576026;0.0686977960624107;0.0043920780132435;0.3842255760812614;0.4182289690266602;0.0077381947111457;0;0;0;80.1015;83.60849999999999;2188.5947265625;2183.998046875;2.061113549935689;0.6101506904183143;2.128795396369784;0.5848592045340911;True;True;0;107;0.3185976355830741;0.0996074602678301;357.7599224433173;5.846490553052655;1784.464373525357;0.0640269759620549;0;0;0;76.28888888888888;77.12222222222222;1672.3333333333333;1699.6666666666667;-0.3934333010290061;4127571;4135102;4133240;0.944529625786528;0.0099179455444504;5.164980448225951;0.9810100667938484;0.7120497962712371;659.8646537324133;0.0457840701979765;2.440682891377681;-3.9175689508093;0.1095945465299274
166.6475462962963;2025-06-15 14:32:28;44.69965302707482;42.84944;11.06418;30.62;20.08;57.3;27.0;15.0;52.5;10.13;0;0;108;0.3273248592993917;0.1149884053726158;0.0682075534511085;0.0042817534518912;0.3819326518043971;0.4157392500754194;0.0432384429790428;0;0;0;80.191;83.3045;2189.0810546875;2184.79296875;1.9488964342222177;0.5984437065949902;2.0496321092924545;0.6122280503834553;True;True;0;108;0.3179980724737166;0.0987342952211772;357.63610249848347;5.743132431411166;1785.1444756404894;0.4445929212133623;0;0;0;75.95555555555555;77.21666666666667;1689.6666666666667;1667.3333333333333;-0.3934333010290061;4153501;4161034;4159171;0.9447285412784976;0.0084479719164692;5.2118839087337605;0.978477475567772;0.7058340709304818;659.9497021946011;0.045279640776218;2.437026422637301;-3.9037218210456417;0.1087411822903449
166.64784722222225;2025-06-15 14:32:54;44.77788303671316;42.84944;11.06418;30.62;20.08;57.3;27.0;15.0;52.5;10.12;0;0;109;0.3266961046630254;0.1161956781441215;0.0687812227634006;0.0046154800029743;0.3867566997707319;0.4211139717677123;0.0165480068751094;0;0;0;80.1585;84.0335;2188.9453125;2185.1748046875;1.976143033281438;0.64383087959773;2.2425206081780007;0.6635292591038869;True;True;0;109;0.3155514600960851;0.0992380762745633;356.95414353654326;5.95944327119518;1768.208253398595;0.3161796046189735;0;0;0;75.67222222222222;78.2;1709.3333333333333;1684.0;-0.3934333010290061;4179498;4187035;4185170;0.9415734828707072;0.0077384504950409;5.04031822113422;0.9846492478229112;0.7093404137890557;659.9415480961198;0.0456070281790956;2.406397195574725;-3.881084906563102;0.1095043506191128
