WL,PC1,PC2,PC3,PC4,sum,,,,,,,,,
,,,,,,,,,21.30924406,,,,,17456
783,0.026483882,0.055308321,0.110645223,0.090968966,0.442531273,,,,,,,,,
784,0.024560059,0.055376389,0.116626594,0.091548225,0.417229242,,,,,,,,,
785,0.022761825,0.055424844,0.122242507,0.091999172,0.393492007,,,,,,,,,
786,0.021086833,0.055425362,0.127327748,0.092337205,0.371310778,,,,,,,,,
787,0.019582524,0.055289795,0.131419082,0.092415691,0.351195299,,,,,,,,,
788,0.018157727,0.055067976,0.134996905,0.092309467,0.331979736,,,,,,,,,
789,0.016854581,0.054637694,0.137550354,0.091817029,0.314189606,,,,,,,,,
790,0.015658997,0.053924958,0.138742648,0.090766425,0.297040126,,,,,,,,,
791,0.014546002,0.052998485,0.138939249,0.089363377,0.280753535,,,,,,,,,
792,0.013575124,0.051956111,0.138297208,0.087751051,0.266221393,,,,,,,,,
793,0.012750654,0.050954688,0.137365096,0.086158322,0.253640986,,,,,,,,,
794,0.012061979,0.049931194,0.135987752,0.084547402,0.243109667,,,,,,,,,
795,0.011404851,0.048774855,0.133948764,0.082635688,0.232274474,,,,,,,,,
796,0.011065462,0.047326974,0.129945505,0.080228239,0.225472947,,,,,,,,,
797,0.0107843,0.046125454,0.126642131,0.078208005,0.219797247,,,,,,,,,
798,0.010590794,0.045301175,0.12435308,0.076854328,0.215960154,,,,,,,,,
799,0.010304038,0.044075538,0.120986305,0.074785063,0.210145801,,,,,,,,,
800,0.010021026,0.042865703,0.11766325,0.072744689,0.204416686,,,,,,,,,
801,0.009742668,0.041675677,0.11439588,0.070735251,0.198775339,,,,,,,,,
802,0.009463419,0.040481733,0.111117771,0.06871929,0.193116355,,,,,,,,,
803,0.009193373,0.039327273,0.107946514,0.066772191,0.187648576,,,,,,,,,
804,0.008922511,0.038169072,0.10476735,0.06481375,0.182150593,,,,,,,,,
805,0.008661233,0.037051986,0.101700033,0.0629256,0.176847638,,,,,,,,,
806,0.008399638,0.035933465,0.098628118,0.061037001,0.171544332,,,,,,,,,
807,0.008142371,0.034833468,0.09560767,0.059176909,0.166319472,,,,,,,,,
808,0.007890093,0.033754603,0.092645847,0.057351496,0.161193373,,,,,,,,,
809,0.007641143,0.032689965,0.089724173,0.055548039,0.156129309,,,,,,,,,
810,0.007397389,0.03164767,0.086862587,0.053785156,0.151178519,,,,,,,,,
811,0.007152505,0.030600383,0.083986879,0.052013114,0.146201033,,,,,,,,,
812,0.006917034,0.02959327,0.081223126,0.050306087,0.141407422,,,,,,,,,
813,0.006681658,0.02858667,0.078459147,0.048602649,0.136622274,,,,,,,,,
814,0.006450223,0.027596823,0.075741869,0.04692551,0.131911049,,,,,,,,,
815,0.006223356,0.026626599,0.07307768,0.045281118,0.127288975,,,,,,,,,
816,0.006001248,0.025676472,0.070471268,0.043669691,0.122765885,,,,,,,,,
817,0.005783386,0.02474469,0.06791323,0.042089255,0.118324083,,,,,,,,,
818,0.005565386,0.023812202,0.065353818,0.040507618,0.113880838,,,,,,,,,
819,0.005356916,0.022920362,0.062906671,0.038993718,0.109628853,,,,,,,,,
820,0.005148328,0.022028253,0.060457839,0.037479402,0.105372316,,,,,,,,,
821,0.004948713,0.021173992,0.058116553,0.036024875,0.101290526,,,,,,,,,
822,0.004749018,0.020319773,0.055772761,0.034573365,0.097212114,,,,,,,,,
823,0.004553662,0.019484031,0.053479406,0.03315349,0.093222653,,,,,,,,,
824,0.004363393,0.018669978,0.051245865,0.031771177,0.08934055,,,,,,,,,
825,0.004172422,0.017852872,0.049005577,0.03037918,0.085430647,,,,,,,,,
826,0.003990175,0.0170731,0.046866506,0.029050736,0.081696429,,,,,,,,,
827,0.003808972,0.016297949,0.044739383,0.027733778,0.077995799,,,,,,,,,
828,0.00363699,0.015562072,0.042720066,0.02648337,0.074482915,,,,,,,,,
829,0.003464434,0.014824234,0.040691072,0.025232429,0.070958707,,,,,,,,,
830,0.003296839,0.014107456,0.038722165,0.024011516,0.067519138,,,,,,,,,
831,0.003133827,0.013409942,0.036808779,0.022824145,0.064182759,,,,,,,,,
832,0.002975432,0.012732195,0.034949337,0.021670476,0.060940393,,,,,,,,,
833,0.002821784,0.012070823,0.033160397,0.020562402,0.057925891,,,,,,,,,
834,0.002668245,0.011414072,0.031356545,0.019444314,0.054777443,,,,,,,,,
835,0.002524611,0.010799684,0.029669428,0.018400036,0.051839555,,,,,,,,,
836,0.002380452,0.010182987,0.027975983,0.017349315,0.048881223,,,,,,,,,
837,0.00224139,0.009588122,0.02634241,0.016334355,0.046021763,,,,,,,,,
838,0.002107062,0.009011001,0.02477714,0.01534287,0.043280803,,,,,,,,,
839,0.001977379,0.008456462,0.023252746,0.014399274,0.040620295,,,,,,,,,
840,0.001852503,0.007922678,0.021784038,0.013489131,0.038047892,,,,,,,,,
841,0.001727925,0.007389089,0.020326457,0.012558981,0.035428635,,,,,,,,,
842,0.001613235,0.006899328,0.018975246,0.011714161,0.0330196,,,,,,,,,
843,0.001500776,0.006420569,0.017641017,0.010909893,0.030708589,,,,,,,,,
844,0.001389844,0.005945726,0.016338214,0.010105102,0.028451221,,,,,,,,,
845,0.001288743,0.005513546,0.015149207,0.00936757,0.026366483,,,,,,,,,
846,0.001187072,0.005078592,0.013954183,0.008628371,0.024285746,,,,,,,,,
847,0.001085362,0.004643426,0.012758951,0.007889233,0.022206756,,,,,,,,,
848,0.000993266,0.004249288,0.011677701,0.007217996,0.020320511,,,,,,,,,
849,0.000906071,0.003876024,0.010654911,0.006578568,0.018523061,,,,,,,,,
850,0.000819033,0.003505043,0.009621643,0.00597998,0.016831134,,,,,,,,,
