wl;150625_080838;150625_080914;150625_080941;150625_081012;150625_081437;150625_081506;150625_081532;150625_081558;150625_081624;150625_081837;150625_081904;150625_081930;150625_081956;150625_082146;150625_082212;150625_082243;150625_082313;150625_082631;150625_082716;150625_082747;150625_082814;150625_083226;150625_083253;150625_083320;150625_083346;150625_083411;150625_083555;150625_083621;150625_083650;150625_083849;150625_083915;150625_083945;150625_084017
346.416835303353;-2.651250553023364e-05;-1.0401638941854321e-05;1.767754557129828e-05;7.712886858344734e-06;-4.0165181210648476e-08;-4.8130237324843346e-05;3.5128031122935067e-05;-5.558055608373781e-06;-9.543724390879498e-06;-1.6670271836436048e-06;-1.4223204119491569e-05;3.596116581292882e-06;4.192809523475766e-05;-2.3663956223185337e-05;6.112000117757584e-07;2.911573478764879e-06;-1.167987459991824e-06;-2.8333011778774687e-05;3.9803244022828885e-05;4.438419076602074e-05;5.386860386333996e-05;4.402756783866434e-05;-2.2995394023376206e-05;1.815879450192702e-05;-1.972709852710684e-06;9.561808265374615e-06;3.4337946130266974e-05;-1.8862172313938878e-05;-2.428598911365447e-05;-2.5983063150607917e-05;5.14152430638476e-06;1.470841341149378e-05;6.518786394079305e-06
347.170519063348;3.710156791564288e-05;3.7842479381988425e-05;4.6640332744292786e-05;2.5178002309314475e-05;4.6448116228174024e-05;1.8102149067804355e-05;5.8607285126238486e-05;5.089912726878147e-05;1.8280552845742866e-05;-1.7367166274202192e-05;2.6371597621942082e-05;4.593490947073178e-05;6.921939881301092e-05;-1.0170176031767243e-06;2.795627443132228e-05;3.563985570827291e-06;3.2262599476869984e-05;2.442543133531688e-05;7.670815842582927e-05;9.340488224171586e-05;6.361767945259743e-05;6.667214762480976e-05;3.915638389952567e-05;3.962897767814799e-05;-3.2739081865186857e-06;6.800802089871245e-05;0.00010728620380306208;0.00012480025312332563;2.3187080951263186e-06;6.073047539363186e-05;1.3545363469328658e-05;4.626200956287939e-05;3.631187968793687e-05
347.924048598125;0.00011670496956816166;8.464731184934297e-05;8.56199905888769e-05;0.00010097217835365065;6.524330914808102e-05;9.293906739841771e-05;0.00015588948445439588;0.00014031769662187704;0.0001223664733889216;4.432720279841879e-05;0.00013524916541934564;0.00016630889096766376;8.843374567357058e-05;7.170799494660786e-05;6.931136609519406e-05;6.446061583047989e-05;6.930208952302184e-05;9.096032438299785e-05;0.00014032018678001982;0.00017375431427381002;0.00014755435175363858;0.00010439542729053846;0.00011739706386591572;0.0001649987868152975;0.00013927646843366908;0.00013354948247473012;0.000168742314963356;0.00023828966403182666;7.641114929779102e-05;0.00020139330253998722;9.1856117955443e-05;0.00012050063829705681;8.039853098943127e-05
348.67742383683;0.00014055626737242665;0.00013504658085131875;0.00013113717705935083;0.00014702404224764732;0.000149293055006946;0.0001550663142976222;0.00013426146726956096;0.0001901645047176863;0.00018722105417070395;0.000127740743808834;0.00013578191271420667;0.00019313926731211143;0.00015505953800191405;0.00013086667050295613;9.086652721496908e-05;8.5120381924877e-05;0.00010566434062205107;0.00015351440631939213;0.00017160495407403568;0.0001563190610329565;0.00020991887390135118;9.671794250791949e-05;8.708983230166752e-05;0.00017681511569126604;0.00021622501632074688;0.00016525042338208878;0.00018353388477250065;0.0002104355394279852;0.00015520186419026264;0.0002873449850064882;0.00016024333257121283;0.00016564197455941075;0.00018434171056795287
349.430644708609;0.00017695566669353758;0.00014492014882481723;0.00019156726959724027;0.00016427517114104624;0.00022534616412734257;0.000164601912955012;0.00013427247151044208;0.0001802122605095513;0.00015321515875762632;0.0001473524045254229;0.00012449525520356354;0.0001732499040723532;0.00019049658839332602;0.00011572767877215254;0.00010685074256196623;7.977153273753869e-05;6.960470308869521e-05;0.0002099241340109188;0.0001643715237682634;4.527333109486643e-05;0.000153285510896874;0.00013388448419944063;0.00012546832991110107;9.153367812813453e-05;0.00018130078996518074;0.0001621088228261946;0.00012665096576276887;0.00012664059180392384;0.00017613342130615172;0.00023320088707694044;0.00019418452649910573;0.00019509535493466402;0.00026210500565066646
350.183711142609;0.00019316809815269817;0.00014047376232178814;0.00016240049282062704;0.00020057246816324896;0.00017535553739694355;0.0001877977455144745;0.000296569629908725;0.00020319249839508656;0.00013835455846264967;0.00013245801214566906;0.00014099660870960554;0.00020437743867364667;0.00023462148059129442;9.534752189632433e-05;0.00011258802350204268;9.22143874310224e-05;6.115332582342511e-05;0.00015693444854168352;0.0001551468519509511;6.8951120791448e-05;0.0001303815942998929;0.00021587859528392534;0.00016087447267634433;0.00018335087391852667;0.0001554102710094947;0.00022066460626577155;0.00014075404627369125;0.0001252009060287438;0.00022382699849445053;0.000152858489096928;0.00020756073256230262;0.0002585311908434427;0.00016774587437945576
350.936623067976;0.0001272315660501495;0.00014888088946468482;0.00020395112582779546;0.0002077686644331097;0.00022576990233360048;0.00020859506066525874;0.00027285260101108164;0.0001664954764346863;0.00020726561382720867;0.00015861411656373995;0.0002181946854758623;0.00021311721038204;0.0002266607968828089;0.0001064779046755956;0.00010641941206679762;0.00012724230228159037;9.202257290725893e-05;0.0001526765797889648;0.00017548606845403268;0.00017534553628326078;9.783950357101912e-05;0.0002351063565607175;0.00015942681002384488;0.00021803384725160797;0.00020561391068893894;0.0003303252527232021;0.00016372318952807417;0.0001655440533287117;0.0002232797392099328;0.00016433098634024206;0.00022334626394744628;0.0003077147177984398;0.00010584523776471159
351.689380413855;0.00015237402616573528;0.00017318305769303583;0.0002610778076103749;0.0002176562279796727;0.0003248239995190624;0.00015833956494895572;0.00019451228043708532;0.000108226666095372;0.00021178362448029427;0.00023391694735360686;0.00023206042258388005;0.00021365197261627848;0.00023669443197690804;0.00010761664695587835;8.259342230481471e-05;0.00017468058772835096;0.00012336371759394914;0.00025124264703178356;0.00018735374537190942;0.0001350405420848539;3.5240210458694615e-05;0.00018396412459782915;0.00020975296406328673;0.0002251989771136326;0.00023381038317183144;0.0002830377041648256;0.0001480810386933995;0.00021491699989200941;0.00029191514596121334;0.00016826116083889676;0.0002508670011474577;0.0003441625237123172;0.0002003333586803411
352.441983109394;0.0002470575514431175;0.00018902041962920373;0.00019450381904288823;0.0002452401311591682;0.0003520361848705733;0.00019981896828897525;0.0002644665244970338;0.00013242211149501592;0.0002169841345330159;0.00022770979061863652;0.00022526177514831244;0.00016280182045919588;0.00020096112234527485;0.00010986460785601626;0.00012922926472243437;0.0001600269987419481;0.00012661498804662771;0.00028761854332902176;0.00018189866183744758;0.000141574854837095;0.00011390462556683348;0.00020978202473334405;0.00023507846024284037;0.00023907699852969465;0.0002274478020773489;0.0002640063497902471;0.00019169143782129028;0.00025974606405857983;0.00037379636751346543;0.00016621103496445506;0.0002300341964385072;0.0003285235620142675;0.00010759881043421016
353.194431083738;0.00023165065788308071;0.00021156497549799095;0.00014521657125730726;0.00024651068741629264;0.000363015430959436;0.0002708807540656582;0.0002937859414138515;0.0001446327565683591;0.00022564302367235965;0.00018353825398540662;0.0003179511859320824;0.00014910734359892936;0.0001506444137426113;9.988867595131788e-05;0.0001455876153544277;0.00011319019537200482;0.00012149321643543838;0.00022197445322633664;0.00024687559970405944;0.0002100541171996166;0.00024032638011622627;0.0003424249394164191;0.0002577093653508411;0.00016605171571553888;0.00021730804780266627;0.0003260322909228308;0.00015061336069922636;0.00019381759906035302;0.0003280614393449037;0.00023016772505190427;0.00027867941961368873;0.00030671163919798944;0.00017255437116941012
